token_id,token_str,count,avg_expert_size,avg_expert_size_excluding_null,null_fraction
35479, Saunders,146,112.2,252.51,0.555651
44529,-drug,88,119.18,268.21,0.555634
27984, antivirus,131,124.08,279.2,0.555582
19009, Zero,242,123.08,276.94,0.55557
21037,ushima,36,114.37,257.33,0.555556
27297, travers,12,119.33,268.5,0.555556
35729,igmatic,12,118.22,266.0,0.555556
43776,erary,6,118.22,266.0,0.555556
46139, Ritual,96,124.58,280.31,0.555556
56634,otee,6,115.11,259.0,0.555556
62188,-immune,42,121.21,272.71,0.555556
64077,WY,30,118.4,266.4,0.555556
64116, TIA,15,115.73,260.4,0.555556
64515, intoxicating,18,124.74,280.67,0.555556
23510, Valentine,187,127.28,286.37,0.555537
1905,ribut,88,108.98,245.19,0.555516
164,�,873,107.47,241.74,0.555436
38407, Alpine,115,123.83,278.53,0.555435
2603,vey,369,104.83,235.79,0.555414
61646, Nepalese,70,125.03,281.19,0.555357
51379,-ethnic,77,117.39,263.98,0.55533
47914,ghi,61,106.84,240.27,0.555328
14503,igo,322,113.97,256.3,0.555318
35846,aundering,23,124.99,281.03,0.555254
6201,iform,306,124.08,278.99,0.555249
23086,users,102,114.03,256.38,0.555249
18179,pace,207,108.42,243.72,0.555153
27540, wholesale,167,119.74,269.17,0.55514
30157,Choosing,106,111.81,251.33,0.55513
7048,roat,72,114.24,256.79,0.555122
29408,ceptor,192,117.15,263.34,0.555122
33582, semen,120,120.32,270.46,0.555122
52792,rito,48,109.06,245.14,0.555122
51986,iffer,55,108.19,243.19,0.555114
64626,ilan,31,113.12,254.26,0.555108
25042,ourgeois,45,117.16,263.33,0.555093
60484, Lillian,45,118.16,265.59,0.555093
10264,velength,66,117.88,264.95,0.555082
32504, dove,112,116.07,260.87,0.55506
36706,riever,14,113.33,254.72,0.55506
45978,ercetin,28,121.9,273.98,0.55506
64934, Punic,28,122.29,274.84,0.55506
998,ork,591,115.6,259.79,0.555027
57570, Mockingbird,57,111.98,251.64,0.555007
31630,ophysics,68,121.12,272.17,0.554994
28261, believer,165,118.08,265.35,0.554987
24064,-cancer,169,120.35,270.43,0.55498
56061, carats,40,117.5,264.01,0.554948
4517,ressive,275,116.55,261.86,0.554924
38955,romy,33,117.82,264.71,0.554924
43293,WG,88,118.3,265.8,0.554924
27157,osome,184,121.64,273.29,0.554914
39200,chs,92,111.12,249.65,0.554914
12284,isa,243,117.72,264.49,0.554913
58440,ynes,48,115.75,260.06,0.554905
56133, Goodwin,52,113.64,255.31,0.554888
50799, Liang,71,111.89,251.36,0.554871
52842,rady,75,118.67,266.58,0.554861
6846,isters,158,110.09,247.32,0.554852
58858,ór,19,114.95,258.21,0.554825
63529, defoliation,23,118.78,266.81,0.554801
16577,OH,538,122.39,274.9,0.554794
65426, moulding,39,122.02,274.04,0.554754
31292,itimate,47,114.64,257.47,0.554743
40131, Samoa,149,123.25,276.8,0.55474
25087,fowl,36,115.15,258.58,0.554688
25475,arynx,32,122.17,274.34,0.554688
32999,hid,64,113.21,254.22,0.554688
41261, infarction,152,114.81,257.81,0.554688
51218,oxicillin,20,120.07,269.62,0.554688
13450,orse,147,105.42,236.71,0.554634
35860,й,180,113.91,255.77,0.55463
30277, molding,152,120.94,271.54,0.554619
12754,TC,370,119.09,267.39,0.554617
33663, insured,148,122.85,275.82,0.554617
43945,oxifen,37,106.52,239.17,0.554617
51665,yri,29,113.75,255.38,0.554598
57824, Coordinating,58,118.02,264.98,0.554598
12194,oub,108,116.07,260.6,0.554591
20974,ippers,155,116.97,262.6,0.55457
49962,ixes,42,116.38,261.27,0.554563
51651,LET,64,124.9,280.37,0.554525
6645, gram,386,113.99,255.88,0.554512
31257,ORS,116,110.26,247.51,0.554508
9188, Mountain,830,121.69,273.15,0.554506
50426, Reds,56,115.31,258.83,0.554501
27480,uta,187,112.07,251.55,0.554479
19554,ylene,87,121.09,271.79,0.554478
59080, kilos,48,117.08,262.8,0.55447
27669, Elijah,201,118.08,265.04,0.554467
45107, flavoring,66,113.72,255.23,0.554451
36678, Lafayette,128,116.16,260.7,0.554443
31332, Concrete,137,122.49,274.92,0.55444
25154, Digest,93,115.44,259.09,0.554435
38093,-store,40,112.03,251.44,0.554427
40495, PrEP,40,122.97,275.97,0.554427
49049,ommel,40,113.9,255.63,0.554427
22646,rosclerosis,49,120.11,269.56,0.554422
29428,ozoic,63,122.26,274.38,0.554398
43266,itizen,81,120.44,270.3,0.554398
54614, APP,27,122.62,275.17,0.554398
33571,-loss,77,120.62,270.69,0.554383
46200,ominant,41,121.43,272.49,0.55437
12537,(),556,116.63,261.73,0.554369
8749,ptic,210,114.69,257.37,0.554365
27411, motorcycle,233,119.53,268.22,0.554363
46647,ocalyptic,23,113.39,254.44,0.554348
62841, mobiles,46,120.58,270.57,0.554348
9310,eeding,56,113.1,253.76,0.554315
32550, disinfectant,99,107.74,241.74,0.554293
8088,rh,227,115.1,258.23,0.554286
26887,opters,19,116.42,261.2,0.554276
65480, Severus,57,116.51,261.41,0.554276
1326,lish,172,111.95,251.17,0.554264
16928,ú,416,115.09,258.19,0.554262
56839, Courier,72,115.39,258.87,0.554253
25049, feral,207,127.02,284.96,0.554247
21976, Stuart,391,111.45,250.02,0.554241
29767,zzly,29,116.92,262.29,0.554239
11480, poultry,727,123.49,277.04,0.554233
44692,-series,68,117.61,263.83,0.554228
12249,MD,730,115.44,258.97,0.554224
5469,asive,88,109.64,245.94,0.554214
43728, zooplankton,64,120.1,269.41,0.554199
50021,organization,74,115.01,257.98,0.554195
36717,athing,89,111.81,250.79,0.55419
1497,ograph,369,113.74,255.12,0.554172
30239,atient,5,114.67,257.2,0.554167
47522, Guil,20,118.8,266.47,0.554167
53107,-finding,30,107.11,240.25,0.554167
1109,ix,1332,109.75,246.15,0.554156
38643, Clerk,121,115.01,257.95,0.554149
18774,immer,197,111.48,250.0,0.554093
38308,-Cola,83,119.5,268.0,0.554091
43302,ک,73,115.16,258.25,0.554081
52037,-wood,47,120.0,269.11,0.554078
20539,AG,369,110.36,247.48,0.554059
61232, utterances,74,120.47,270.14,0.554054
4169,emy,180,112.19,251.58,0.554051
39812,irubin,16,123.92,277.86,0.554036
14449,°F,533,122.45,274.55,0.554018
30570,requent,81,119.21,267.29,0.554012
17806,rah,357,106.29,238.32,0.554009
5879,othe,206,108.74,243.81,0.554005
21670,�,11,116.0,260.08,0.553977
58797,aminate,44,112.12,251.38,0.553977
17800, eclipse,409,114.92,257.66,0.553968
41877, emeritus,83,112.16,251.46,0.553966
34805, psi,96,122.21,273.97,0.553928
37024, Wille,68,114.94,257.67,0.553922
56442, Helper,17,113.57,254.59,0.553922
27922, Superior,182,110.99,248.81,0.553915
46529,ervative,74,113.96,255.47,0.553913
35757,JV,69,118.32,265.23,0.553895
54723, Winslow,46,115.25,258.34,0.553895
50882,xing,98,119.28,267.38,0.55389
11431,ersed,48,117.61,263.6,0.553819
15346,renheit,24,115.22,258.24,0.553819
32856,-engine,108,115.56,258.99,0.553819
37226,seus,6,122.89,275.42,0.553819
51978,apu,36,115.11,257.99,0.553819
52711,-cleaning,66,123.09,275.88,0.553819
59910, bariatric,24,124.22,278.41,0.553819
40233,-pass,97,119.08,266.87,0.553802
663,erv,686,112.36,251.82,0.553799
23057,imir,92,114.07,255.64,0.553782
14964, freeze,489,112.72,252.6,0.553766
20129,inoids,107,118.78,266.16,0.553738
10975,ausea,45,125.63,281.49,0.553704
59613, Packet,52,118.67,265.88,0.553686
24851,ocyte,229,121.64,272.54,0.553675
21163,ractice,46,112.14,251.26,0.553668
16893,iatic,53,116.96,262.03,0.553656
17673,rament,20,117.93,264.21,0.553646
50981, Guiana,47,125.62,281.42,0.553635
45358, Enceladus,54,126.91,284.32,0.553627
45426, emulsion,95,113.39,254.02,0.553618
14002,fting,136,115.67,259.12,0.553615
48464,-healing,68,116.24,260.39,0.553615
31059, watermelon,116,114.72,257.0,0.55361
41536,'a,164,113.07,253.3,0.553608
33880,-rep,89,122.43,274.26,0.553605
21622,meal,144,105.51,236.36,0.553602
36426, bucks,62,116.24,260.38,0.553595
42788, citric,62,121.05,271.18,0.553595
37787,haft,49,108.24,242.47,0.553571
62799, obsidian,21,117.46,263.11,0.553571
23856, heartburn,190,122.45,274.28,0.553564
35845, ASCII,90,126.58,283.47,0.553472
5738,izer,608,108.56,243.11,0.553454
42555,px,114,117.91,264.04,0.553454
59714, DEVELOPMENT,38,114.07,255.45,0.553454
1920,hern,122,113.9,255.07,0.553449
62444, mandala,39,109.26,244.67,0.553419
4256,ager,609,107.95,241.72,0.553417
1284,ording,55,112.48,251.87,0.553409
54088,-relief,55,114.86,257.19,0.553409
31008, seedling,143,120.31,269.38,0.553395
